學校簡稱,學校電話,學校網址,學校郵遞區號
大甲高工,(04)26874132,http://www.tcvs.tc.edu.tw,437
大甲高中,(04)26877165,http://www.djsh.tc.edu.tw/,437
大明高中,(04)24821027,http://www.tmsh.tc.edu.tw/,412
中科實驗中學,(04)25686850,http://www.nehs.tc.edu.tw/,428
中港高中,(04)26578270,http://www.cgsh.tc.edu.tw/,435
市立大里高中,(04)24067870,http://www.dlsh.tc.edu.tw/,412
弘文高中,(04)25340011,http://www.hwhs.tc.edu.tw/,427
玉山高中,(04)25771313,http://www.yssh.tc.edu.tw/,423
立人高中,(04)24834138,http://www.lzsh.tc.edu.tw/,412
光華高工,(04)23949009,http://www.khvs.tc.edu.tw,411
后綜高中,(04)25562012,http://www.hzsh.tc.edu.tw/,421
西苑高中,(04)27016473,http://www.sysh.tc.edu.tw/,407
沙鹿高工,(04)26621795,http://www.slvs.tc.edu.tw,433
宜寧高中,(04)24621800,http://www.inhs.tc.edu.tw/,407
忠明高中,(04)23224690,http://www.cmsh.tc.edu.tw/,403
明台高中,(04)23393071,http://www.mths.tc.edu.tw/,413
明道高中,(04)23372101,http://www.mingdao.edu.tw/homeX/Web/,414
明德中學,(04)22877676,http://www.mdhs.tc.edu.tw/,402
東大附中,(04)23590269,http://www.hn.thu.edu.tw/,407
東山高中,(04)24360166,http://www.tsjh.tc.edu.tw/ischool/publish_page/0/,406
東勢高工,(04)25872136,http://www.tsvs.tc.edu.tw,423
長億高中,(04)22704022,http://www.cyhs.tcc.edu.tw/,411
青年高中,(04)24954181,http://www.youth.tc.edu.tw/,412
致用高中,(04)26872354,http://www.cycivs.tc.edu.tw,437
國立興大附中,(04)24875199,http://www.dali.tc.edu.tw/,412
常春藤高中,(04)25395066,http://net1.ivyjhs.tcc.edu.tw/indexpad6.php,427
清水高中,(04)26222116,http://www.cshs.tc.edu.tw/,436
惠文高中,(04)22503928,http://www.hwsh.tc.edu.tw/,408
華盛頓高中,(04)23934712,http://www.whs.tc.edu.tw/,411
慈明高中,(04)22713911,http://www.tmvs.tcc.edu.tw/,411
新民高中,(04)22334105,http://www.shinmin.tc.edu.tw/,404
新社高中,(04)25812116,http://www.sshs.tc.edu.tw,426
葳格高中,(04)24371728,http://senior.wagor.tc.edu.tw/,406
僑泰高中,(04)24063936,http://www.ctas.tc.edu.tw/,412
嘉陽高中,(04)26152166;(04)26152168,http://www.cysh.tcc.edu.tw/,436
臺中一中,(04)22226081,http://www.tcfsh.tc.edu.tw/,404
臺中二中,(04)22021521,http://www.tcssh.tc.edu.tw/,404
臺中女中,(04)22205108,http://www.tcgs.tc.edu.tw/,403
臺中市立文華高中,(04)23124000,http://www.whsh.tc.edu.tw/,407
臺中家商,(04)22223307,http://www.tchcvs.tc.edu.tw,401
臺中特殊教育學校,(04)22582289,http://140.128.237.3,408
臺中高工,(04)22613158,http://www.tcivs.tc.edu.tw,402
臺中啟明學校,(04)25562126,http://www.cmsb.tc.edu.tw/ischool/publish_page/0/,421
臺中啟聰學校,(04)23589577,http://www.thdf.tc.edu.tw/#,407
衛道高中,(04)22911187,http://www.vtsh.tc.edu.tw/,406
曉明女中,(04)22921175,http://www.smgsh.tc.edu.tw/,404
興大附農,(04)22810010,http://www.tcavs.tc.edu.tw,401
嶺東高中,(04)23898940,http://www.lths.tc.edu.tw/,408
豐原高中,(04)25290381,http://www.fysh.tc.edu.tw/,420
豐原高商,(04)25283556,http://www.fyvs.tc.edu.tw,420
霧峰農工,(04)23303118,http://www.wufai.edu.tw/index.html,413
十信高中,(02)28921166,http://www.shvs.tp.edu.tw/,112
士林高商,(02)28313114,http://www.slhs.tp.edu.tw,111
大安高工,(02)27091630,http://www.taivs.tp.edu.tw,106
大直高中,(02)25334017,http://www.dcsh.tp.edu.tw/,104
大理高中,(02)23026959,http://www.tlsh.tp.edu.tw/,108
大誠高中,(02)22348989,http://www.tcsh.tp.edu.tw/,116
中山女高,(02)25073148,http://web.csghs.tp.edu.tw/,104
中正高中,(02)28234811,http://www.ccsh.tp.edu.tw/,112
中崙高中,(02)27535316,http://www.zlsh.tp.edu.tw,105
中興中學,(02)27412542,http://www.chsh.tp.edu.tw/,104
內湖高工,(02)26574874,http://web.nihs.tp.edu.tw,114
內湖高中,(02)27977035,http://www.nhsh.tp.edu.tw/,114
文山特教學校,(02)86615183,http://www.wsses.tp.edu.tw,116
文德女中,(02)27901753;(02)27904570,http://ms3.sfgsh.tp.edu.tw/,114
方濟中學,(02)27910278,http://www.sfh.tp.edu.tw/,114
木柵高工,(02)22300506,http://www.mcvs.tp.edu.tw,116
北一女中,(02)23820484,http://www.fg.tp.edu.tw/,100
市立大同高中,(02)25054269,http://www.ttsh.tp.edu.tw/,104
永春高中,(02)27272983,http://www.ycsh.tp.edu.tw/,110
立人高中,(02)23113423,http://www.lrsh.tp.edu.tw/,108
再興中學,(02)29366803,http://www.thsh.tp.edu.tw/,116
成功中學,(02)23216256,http://www.cksh.tp.edu.tw/,100
成淵高中,(02)25531969,http://www.cyhs.tp.edu.tw/,103
百齡高中,(02)28831568,http://www.blsh.tp.edu.tw/,111
西松高中,(02)25286618,http://www.hssh.tp.edu.tw,105
私立大同高中,(02)25925252,http://www.ttsh.tp.edu.tw/,104
育成高中,(02)26530475,http://www.yucsh.tp.edu.tw/,115
育達家商,(02)25706767,http://www.yudah.tp.edu.tw,105
協和祐德高中,(02)27265775,http://www.hhvs.tp.edu.tw,110
和平高中,(02)27324300,http://www.hpsh.tp.edu.tw/,106
延平中學,(02)27071478,http://www.yphs.tp.edu.tw/,106
明倫高中,(02)25961567,http://www.mlsh.tp.edu.tw/,103
東山高中,(02)29395826,http://www.tshs.tp.edu.tw/,116
東方工商,(02)27554616,http://www.tfvs.tp.edu.tw/tfvs/main.php,106
松山工農,(02)27226616,http://192.192.135.24/,110
松山家商,(02)27261118,http://www.ssvs.tp.edu.tw,110
松山高中,(02)27535968,http://www.sssh.tp.edu.tw,110
金甌女中,(02)23214765,http://www.cogsh.tp.edu.tw/,106
南港高工,(02)27825432,http://www.nkhs.tp.edu.tw,115
南港高中,(02)27837863,http://www.nksh.tp.edu.tw/,115
